num_workers, num_bots, coor_method, percent_picked_mean, percent_picked_sd, time_wasted_mean, time_wasted_sd
4, 2, 0, 5.18616144675, 0.623870979046, 116.02, 68.4806512819
4, 2, 1, 5.26794892449, 0.719228075218, 111.1, 86.9511932063
4, 4, 0, 6.12316367538, 0.432757328564, 10.49, 22.3734194973
4, 4, 1, 5.96399550295, 0.519549261174, 11.78, 24.5342943652
4, 6, 0, 6.00201984094, 0.540829800385, 15.17, 32.0000171875
4, 6, 1, 5.96383652682, 0.555018294383, 15.73, 29.8763635672
4, 8, 0, 5.97701721552, 0.527968266721, 16.98, 36.345558188
4, 8, 1, 5.98943403157, 0.6328564011, 18.25, 33.0010227114
4, 10, 0, 5.8624992937, 0.614238076888, 21.17, 46.0404289728
4, 10, 1, 5.95352984536, 0.496913111561, 14.0, 33.9649819667
4, 12, 0, 5.91116481755, 0.568141601237, 25.17, 48.6806029133
4, 12, 1, 5.81352438905, 0.605564992565, 22.61, 45.8324982954
4, 14, 0, 6.00436083298, 0.566858919896, 18.92, 36.7822457172
4, 14, 1, 5.99596228044, 0.444643264682, 15.84, 34.2889836536
4, 16, 0, 5.96610055865, 0.572072844577, 16.3, 37.5015999659
4, 16, 1, 5.89881729254, 0.654451829077, 18.76, 40.0277703601
4, 18, 0, 5.96088535345, 0.621358293447, 15.77, 30.3709910935
4, 18, 1, 6.03805981612, 0.546746588079, 12.0, 27.4164184386
4, 20, 0, 5.92562685733, 0.568608579737, 17.63, 35.325813508
4, 20, 1, 5.97978632004, 0.502141080375, 17.68, 32.7480930743
8, 2, 0, 8.20336231515, 1.08530021341, 531.33, 157.39307831
8, 2, 1, 8.20136964242, 0.943141711142, 514.23, 132.63467533
8, 4, 0, 10.6061063882, 0.979928995291, 175.31, 84.8462957353
8, 4, 1, 10.5723477911, 0.973432520642, 173.11, 78.2140518066
8, 6, 0, 11.4307109541, 0.80677055286, 80.48, 46.9741375653
8, 6, 1, 11.2757499419, 0.893426878959, 95.06, 53.8647974098
8, 8, 0, 11.4133099439, 0.892842402266, 51.81, 43.8968552404
8, 8, 1, 11.6779571192, 0.846637293382, 46.82, 43.0047392737
8, 10, 0, 11.551741381, 0.809269835569, 61.75, 55.4956529829
8, 10, 1, 11.6403072605, 0.797714977337, 64.76, 57.2472042986
8, 12, 0, 11.4254675095, 0.854639313768, 70.58, 62.1987427526
8, 12, 1, 11.4672754259, 0.895243219169, 70.78, 57.3240926662
8, 14, 0, 11.5747876138, 0.870810962895, 64.59, 61.1835100333
8, 14, 1, 11.395971771, 0.959093569641, 76.02, 67.8653048324
8, 16, 0, 11.4480572324, 0.824581573863, 80.32, 65.3282297326
8, 16, 1, 11.487096757, 0.819457286646, 60.56, 55.0796368906
8, 18, 0, 11.5229148038, 0.821570761299, 68.71, 61.770105229
8, 18, 1, 11.4200053692, 0.842057032947, 68.08, 77.3923355378
8, 20, 0, 11.5533768715, 0.89526018879, 61.83, 60.1210537166
8, 20, 1, 11.4838544494, 0.812646569271, 58.66, 53.4584361911
12, 2, 0, 9.92861139494, 1.0496820913, 1126.63, 193.593318841
12, 2, 1, 9.9657086097, 0.937634680502, 1135.6, 161.538106959
12, 4, 0, 14.3877170418, 1.13456502856, 419.95, 122.490928236
12, 4, 1, 14.3763715456, 1.24791719946, 419.13, 131.610079781
12, 6, 0, 15.8255721479, 1.06593101572, 227.39, 66.8819699172
12, 6, 1, 15.9486108582, 1.12167759336, 207.1, 64.242587121
12, 8, 0, 16.5779577033, 1.05675511824, 160.62, 61.446200859
12, 8, 1, 16.7826958693, 1.02708414171, 146.13, 53.7776263887
12, 10, 0, 16.8159755377, 1.09144903452, 128.12, 55.5413863709
12, 10, 1, 16.6307390398, 1.1456673924, 138.12, 68.5787547277
12, 12, 0, 16.9194746039, 1.04582432001, 102.82, 56.2735070881
12, 12, 1, 16.7882823965, 1.0427869933, 100.14, 61.1758154829
12, 14, 0, 16.5270725779, 1.36386436214, 140.83, 88.9659547243
12, 14, 1, 16.5425315041, 1.28776063473, 145.63, 94.9155050558
12, 16, 0, 16.445646626, 1.1506708718, 156.67, 87.5875624732
12, 16, 1, 16.7372405001, 1.08944764009, 137.46, 81.218522518
12, 18, 0, 16.5476444418, 1.21288714841, 146.48, 88.6531984759
12, 18, 1, 16.6547948022, 1.14942911273, 160.31, 92.1677486977
12, 20, 0, 16.5042283926, 1.12848364396, 172.27, 93.9170756572
12, 20, 1, 16.5895642821, 1.34894724026, 154.58, 98.678790021
16, 2, 0, 11.1760217414, 1.06796709047, 1848.36, 228.745689358
16, 2, 1, 11.0857553624, 1.149542418, 1827.38, 237.149437275
16, 4, 0, 17.6532236568, 1.32875320944, 776.45, 165.945194266
16, 4, 1, 17.6334165403, 1.24320838345, 780.18, 170.168938411
16, 6, 0, 20.0364762447, 1.30725835732, 392.62, 94.3915017361
16, 6, 1, 20.0220668915, 1.13663345725, 398.32, 86.041720113
16, 8, 0, 20.7355499162, 1.26735576721, 278.98, 69.6578753624
16, 8, 1, 20.7978263398, 1.40951729191, 289.26, 73.105077799
16, 10, 0, 21.4209647482, 1.3169400028, 234.29, 74.2439620441
16, 10, 1, 21.4834269849, 1.23682427762, 222.84, 78.2284756339
16, 12, 0, 22.1484778904, 1.37480667126, 205.28, 72.5881643245
16, 12, 1, 21.5829379374, 1.2704227941, 206.73, 69.8104368988
16, 14, 0, 21.6306872647, 1.32307149671, 214.02, 96.3447953965
16, 14, 1, 21.7578465671, 1.25899420402, 215.4, 80.9820967869
16, 16, 0, 21.8045492609, 1.24567219059, 190.11, 82.3017490701
16, 16, 1, 21.7955239467, 1.36799475543, 186.09, 99.2979450945
16, 18, 0, 21.6507800454, 1.38318815802, 217.44, 95.0897807338
16, 18, 1, 21.7525873746, 1.33934798785, 230.3, 103.588561145
16, 20, 0, 21.364021704, 1.28502196943, 242.59, 114.831014539
16, 20, 1, 21.5179539631, 1.36817165102, 238.01, 110.370421309
